Wellname  : XRD data
Date      : 5/16/2017 3:46:02 PM

raw:DEPTH1  raw:XCA    raw:XSIO   raw:XSI    raw:XPL    raw:XKF    raw:XKA    raw:XFE    raw:XAN    raw:gden   raw:DEPTH  raw:CPor   
feet       %          %          %          %          %          %          %          %          gm/cc      feet       %          
10531.4746 0          92         -999       2          3          1          -999       0          2.66       10531.5    19.5       
10538.0371 -999       -999       -999       -999       -999       -999       -999       -999       2.77       10538      4.4        
10548.5352 2          85         1          6          4          -999       0          1          2.67       10548.5    23.4       
10556.4092 -999       91         -999       3          4          0          0          1          2.7        10556.4    8.7        
10564.9395 -999       90         -999       2          3          -999       -999       2          2.65       10564.9    24.7       
10573.4697 -999       91         -999       3          4          0          0          1          2.73       10573.5    24.5       
10582      -999       86         -999       2          7          0          0          1          2.67       10582      27.7       
10590.5303 -999       78         -999       3          10         0          -999       5          3.04       10590.5    26.6       
10599.0605 -999       91         -999       1          1          0          0          4          2.69       10599.1    11.5       
10607.5898 -999       81         4          5          4          0          0          4          -999       10607.6    24.3       
10616.1201 -999       -999       -999       -999       -999       -999       -999       -999       2.65       10616.1    0.5        
10624.6504 -999       90         -999       2          3          -999       -999       2          -999       10624.7    19.6       
10633.1807 -999       -999       -999       -999       -999       -999       -999       -999       2.64       10633.2    0.5        
10641.7109 -999       72         -999       16         9          0          0          1          2.64       10641.7    25.5       
10650.2412 -999       90         -999       2          3          0          0          2          2.68       10650.2    25.3       
10658.7715 -999       89         1          4          3          0          0          1          2.7        10658.8    25.8       
10667.3018 -999       67         20         7          2          0          0          4          2.96       10667.3    4.5        
10675.832  5          67         15         7          4          0          0          2          2.68       10675.8    28.5       
10684.3613 1          87         -999       6          4          0          -999       2          2.68       10684.4    25.8       
10692.8916 -999       -999       -999       -999       -999       -999       -999       -999       2.62       10692.9    16.7       
10701.4219 -999       88         1          5          2          0          -999       3          2.64       10701.4    25.5       
10709.9521 -999       -999       -999       -999       -999       -999       -999       -999       2.61       10710      18.8       
10718.4824 -999       -999       -999       -999       -999       -999       -999       -999       2.69       10718.5    21.1       
10727.0127 -999       85         0          5          1          -999       -999       8          2.64       10727      18.6       
